model,level_requested_pct,utilization_actual_pct,used_blocks,total_blocks,ppl,ppl_stderr,chunks,ctx
smollm2-135m-q8_0.gguf,pristine,0.00,0,0,18.1160,0.61214,30,512
smollm2-135m-q8_0.gguf,0,0.22,28,12960,34167762.7514,1606453.01305,30,512
smollm2-135m-q8_0.gguf,10,9.98,1294,12960,33199042.5822,1579824.36503,30,512
smollm2-135m-q8_0.gguf,25,25.00,3240,12960,29936326.6780,1441057.02000,30,512
smollm2-135m-q8_0.gguf,50,50.02,6483,12960,29716446.1692,1433818.84830,30,512
smollm2-135m-q8_0.gguf,95,95.06,12320,12960,72719855.4445,3398699.27486,30,512
